DE;EN
Prostatitis 1;Prostatitis 1
Prostatitis 2;Prostatitis 2
Prostatitis 3;Prostatitis 3
Prostatitis 4;Prostatitis 4
Prostatitis 5;Prostatitis 5
Prostatitis 6;Prostatitis 6
Prothesenzyste;Prosthesis Cyst
Proteus;Proteus
Einfache Protozoa;Protozoa
Urtierchen 1;Protozoa 1
Protozoen;Protozoan Infection Diseases
Psoriasis;Psoriasis
Psoriasis 1;Psoriasis 1
Psoriasis Sekundär;Psoriasis-Secondary
Psoriasis Läsionen;Psoriatic Eruption
Psorinum;Psorinum
Psyche Frequenzen;Psychiatry
Psychogene Schmerzen;Psychogenic Pain
Psyche - Psychologie;Psychology and Psychiatry
Psychosomatisch;Psychosomatosis
Induktionseffekt;Psychostimulant Effect
Psychotrop;Psychotropic
Liedsenkung;Ptosis-Eyelid Drop
Lungenödem;Pulmonary Edema
Lungenödem 1;Pulmonary Edema 1
Lungenödem 2;Pulmonary Edema 2
Lungenfibrose;Pulmonary Fibrosis
Atemwege - Lunge;Pulmonology
Pneumologie;Pulmonology
Zahnmarkentzündung;Pulpitis
Eitrige Akne;Purulent Pimples
Pustel Ekzem;Pustular Eczema
Pyelitis;Pyelitis
Nierenbeckenentzündung;Pyelonephritis
Pyelonephritis 1;Pyelonephritis 1
Pyelonephritis 2;Pyelonephritis 2
Nierenbeckenentzündung 1;Pyelonephritis1
Nierenbeckenentzündung 2;Pyelonephritis2
Nierenbeckenentzündung 3;Pyelonephritis3
Nierenbeckenentzündung 4;Pyelonephritis4
Nierenbeckenentzündung 5;Pyelonephritis5
Magen Verdauung;Pyloris
Magenpförtner;Pyloris
Pyocyaneus;Pyocyaneus
Hautgeschwürbildung;Pyoderma
Eiterfluss;Pyorrhea
Pyrogenium 62;Pyrogenium 62
Pyrogenium ex ov;Pyrogenium Ex Ov
Pyrogenium Fisch;Pyrogenium Fish
Pyrogenium mayo;Pyrogenium Mayo
Pyrogenium suis;Pyrogenium Suis
Q-Fieber;Q Fever
Beruhigung;Quieting
Beruhigung 2;Quieting 2
Tollwutvirus;Rabies Virus
Schmerzen in der Wirbelsäule;Rachialgia
Wurzelsyndrom;Radicular Syndrome
Nervenwurzelentzündung;Radiculitis
Ragweed;Ragweed
Ausschlag;Rash
Raynaud-Krankheit;Raynaud Disease
Lesestörung;Reading Disturbance
Genesung nach einer Krankheit;Recovering from Sickness
Heilung allgemein;Recovery
Beschleunigung der Heilung;Recovery Acceleration
Wiederherstellung der Aura;Recovery of Aura
Wiederherstellungsprozess;Recovery Process
Wiederherstellungsprozess 1;Recovery Process 1
Prozess der Heilung 1;Recovery Process 1
Heilungsprozess 2;Recovery Process 2
Rektale Zyste;Rectal Cyst
Zyste des Enddarms/Rektums;Rectal Cyst
Prolaps des Enddarms;Rectal Prolapse
Enddarmgeschwür;Rectal Ulcer
Mastdarm;Rectum
Rektum/Enddarm;Rectum 1
Enddarm/Rektum 2;Rectum 2
Entzündung des Rektums;Rectum Inflammation
Rote Flecken;Red Patches
Rote Flecken 1;Red Patches 1
Hustenreflex 2;Reflex Cough
Hustenreflex;Reflex Cough
Reflex Husten 1;Reflex Cough 1
Reflux;Reflux
Regeneration allgemein;Regeneration
Regionale Lymphadenitis;Regional Lymphadenitis
Kreislaufregulation;Regulation of Blood Circulation
Regulierung des endokrinen Systems;Regulation of Endocrine System
Regulierung des Juxta glomerulären Apparates;Regulation of Juxtaglomerular Apparatus
Lymphsystem-Steuerung 1;Regulation of Lymphatic System 1
Regulierung des Lymphsystems 1;Regulation of Lymphatic System 1
Lymphsystem-Steuerung 2;Regulation of Lymphatic System 2
Regulierung des Lymphsystems 2;Regulation of Lymphatic System 2
Muskelentspannung;Relaxation of Muscles
Nierenkolik;Renal Colics
Nephrogene Kopfschmerzen 1;Renal Headache 1
Nephrogene Kopfschmerzen 2;Renal Headache 2
Nierenschrumpfung;Renal Scarring
Stimulation der Nieren;Renal Stimulation
Heilung-Regeneration;Repair-Regeneration
Widerstand;Resistance
Auflösung Gallensteine ​​;Resolution of GallStones
Atemorgane;Respiaratory Organs
Entzündung der Atemwege 1;Respiratiry Tract Inflammation 1
Entzündung der Atemwege 2;Respiratiry Tract Inflammation 2
Atemwege-Durchblutung;Respiratiry Tract-Bleeding
Atemwege Kontrollfrequenz;Respiratiry Tract-Control Frequencies
Allergie der Atemwege;Respiratory Allergy
Atembeschwerde;Respiratory Difficulty
Atemorgane;Respiratory Organs
Atemorgane 1;Respiratory Organs 1
Atemwege Syncytial-Virus;Respiratory Syncitial Virus
Blutung aus den Atemwegen 1;Respiratory Tract Bleeding
Entzündung der Atemwege 1;Respiratory Tract Inflammation
Entzündung der Atemwege 2;Respiratory Tract Inflammation
Atemwege Kontrollfrequenzen;Respiratory Tract-Control Frequencies
Blutversorgung der Atemwege;Respiratoty Track-Blood Supply
Kontrolle der Atemwege;Respiratoty Track-Control
Verantwortungszentrum;Responsibility Centre
Verantwortungsgefühl;Responsibility Centre 2
Verantwortungszentrum 3;Responsibility Centre 3
Zentrum Verantwortlichkeit 2;Responsibility Centre-2
Reaktive Pankreatitis;Responsive Pancreatitis
Netzhaut;Retina
Netzhaut 1;Retina 3
Netzhaut/Retina Regulierung;Retina Control
Netzhautablösung 2;Retina Detachment 2
Netzhautablösung 1;Retina Detachment1
Netzthaut Erholung 2;Retina Recovery
Retrovirus;Retro-Virus
Rheumatischen Erkrankungen;Reumatic Disease
Rheumatische Erkrankung 1;Reumatic Disease 1
Rheumatische Füße;Reumatic Pain in Legs
Rhesus Inkompatibilität;Rhesus Incompatibility
Rheumatische Karditis;Rheumatic Carditic
Rheumaknoten;Rheumatic Nodules
Rheuma Hals;Rheumatic Pain in Occiput
Rheuma-Lenden;Rheumatic Pain of Low Back
Rheuma;Rheumatism
Rheuma 1;Rheumatism 1
Rheuma 2;Rheumatism 2
Rheumatische Arthritis;Rheumatoid Arthritis
Gemischte Rheumatische Arthritis;Rheumatoid Arthritis of Mixed Type
Rheuma Gefäße;Rheumatoid Blood Vessels
Rheuma Knie;Rheumatoid Knee Pain
Rheumatische Muskelentzündung;Rheumatoid Myositis
Rheumatologie;Rheumatology
Nasenschleimhautentzündung;Rhinitis
Schnupfen 1;Rhinitis 1
Schnupfen 2;Rhinitis 2
Laufende Nase-Nasennebenhöhlenentzündung;Rhinitis-Sinusitis
Herpes Pferd;Rhinopneumonia
Antifalten;Rhytide Effacement
Rhythm Verletzung;Rhytm Abnormality
Rechte Nebenniere;Right Adrenal Gland
Klingelnder Lärm;Ringing
Lyme-Borreliose Rocky;Rocky Borreliosis
Rotavirus;RotaVirus
Atemnot;Rough Breathing
Kurzatmigkeit 1;Rough Breathing 1
Spulwürmer integriertes Programm;Roundworms-Comprehensive Programme
Röteln;Rubella
Röteln 3 Tag;Rubella 3rd day
Röteln 9 Tag;Rubella 9th day
Röteln-Virus;Rubella Virus
Sakrale Segment der Wirbelsäule;Sacral Spine
Sakrale Wirbelsäule 1;Sacral Spine 1
Kreuzbein;Sacrum
Kreuzbein 1;Sacrum 1
Zentrum Traurigkeit;Sadness Centre
Zentrum Trauer 2;Sadness Centre 2
Traurigkeitszentrum 3;Sadness Centre 3
Speicheldrüse;Salivary Gland
Speicheldrüsen 2;Salivary Gland 2
Speicheldrüsen 1;Salivary Glands
Speicheldrüsen 2;Salivary Glands 2
Speicheldrüsen 3;Salivary Glands 3
Salmonellen Paratyphi B;Salmonella Paratyphi B
Salmonellen Typhi;Salmonella Typhi
Entzündungen der Eileiter;Salpingitis
Salzverlust-Syndrom;Salt-losing Syndrome
SARS-Corona Virus;SARS CoronaVirus
Krätze;Scabies
Krätzer Juckreiz;Scabious Pruritus
Sklerodermie;Schleroderma
Seekrankheit;Sea Sickness
Seekrankheit 1;Sea Sickness 1
Schuppen;Seborrhea
Kopfschuppen;Seborrhea Furfuracea
Abszess Sekundär;Secondary Abscess
Sekundäre Arthritis;Secondary Arthritis
Sekundäre Lymph-Borreliose;Secondary Borreliosis
Sekundäre Bronchitis;Secondary Bronchitis
Sekundäre Bronchopneumonie;Secondary Bronchopneumonia
Bandwürmer Sekundär;Secondary Cestoid Worms
Hepatitis allgemein sekundärer;Secondary Common Hepatitis
Sekundärer Diabetes;Secondary Diabetes
Herpes Zoster Sekundär;Secondary Herpes Zoster
Panenzephalitis sekundär;Secondary Leukoencephalitis
Lymphatische Überlastung;Secondary Lymphatis Congestion
Sekundäre Meningitis;Secondary Meningitis
Sekundäre Multiple Sklerose;Secondary Multiple Sclerosis
Sekundäre Hodenentzündung;Secondary Orchitis
Poliomyelitis sekundär;Secondary Poliomyelitis
Sekundäre Tuberkulose;Secondary Tuberculosis
Sekundäre Wundheilung;Secondary Wound Repair
Beruhigung;Sedation
Glaskörpertrübung;Seeing Spots
Schwindel im Liegen;Seeing Spots 1
Selbstsucht;Selfishness
Hodenzyste;Seminal Cyct
Altersdemenz;Senile Dementia
Altersbedingte Energiestörungen;Senile Disorders
Senile Störung 2;Senile Disorders 2
Empfindlichkeitsstörung;Sensation Disorders
Empfindliche Haut;Sensitive Skin
Empfindliche Zähne;Sensitive Teeth
Wetterfühligkeit;Sensitivity to Weather
Schnelle Frequenzblöcke;Set of Programs
7 Chakra Frequenzen;Seven Chakras
Sieben Chakras 1-7;Seven Chakras
Sieben Chakras 1;Seven Chakras
Sieben Chakras 2;Seven Chakras
Sieben Chakras 3;Seven Chakras
Sieben Chakras 4;Seven Chakras
Sieben Chakras 5;Seven Chakras
Sieben Chakras 6;Seven Chakras
Sieben Chakras 7;Seven Chakras
Sexologie;Sexology
Sexuelle Schwäche;Sexual Debility
Libido;Sexual Desire
weibliche Libido;Sexual Drive in Females
männliche Libido;Sexual Drive in Males
Sexuelle Dysfunktion;Sexual Dysfunction
Sexuelle Aufregung;Sexual Excitement
sexuelle Neurasthenie;Sexual Neuralgia
Sexuelle Neuralgie;Sexual Neuralgia
Sexuelle Neuralgie 1;Sexual Neuralgia 1
Sexuelle Regulierung-Frau;Sexual Regulation-Female
Sexuelle Regulierung-Mann;Sexual Regulation-Male
Geschlechtskrankheiten;Sexually Transmitted Diseases
Sehschärfe;Sharpness of Vision
Gürtelrose;Shingles
Schüttelfrost;Shivering
Arthrose Schultergelenk;Shoulder Arthrosis
Schultergelenk;Shoulder Joint
Schultergelenk 1;Shoulder Joint 1
Schulter-Hand-Syndrom 1;Shoulder-Arm Syndrome 1
Schulter-Syndrom 1;Shoulder-Arm Syndrome 1
Schulter-Arm 1;Shoulder-Arm Syndrome 1
Schulter-Hand-Syndrom 2;Shoulder-Arm Syndrome 2
Sichelzellenanämie;Sicle-Cell Anemia
Sinus-Krankheit;Sinus Disorders
Kopfschmerzen Nasennebenhöhlen;Sinus Headache
Sinus Kopfschmerz;Sinus Headache
Nasennebenhöhlen Entzündung;Sinusitis
Oberkieferhöhlenentzündung 1;Sinusitis 1
Nasennebenhöhlenentzündung 1;Sinusitis 1
Nebenhöhlenentzündung 1;Sinusitis 1
Sinusitis 2;Sinusitis 2
Nasennebenhöhlenentzündung 2;Sinusitis 2
Nebenhöhlenentzündung 2;Sinusitis 2
Nasennebenhöhlenentzündung 3;Sinusitis 3
Nasennebenhöhlenentzündung 4;Sinusitis 4
Nasennebenhöhlenentzündung 5;Sinusitis 5
Nasennebenhöhlenentzündung 6;Sinusitis 6
Haut;Skin
Haut 1;Skin 1
Hautprobleme;Skin Problems
Hautausschlag;Skin Rash
Hautausschlag 1;Skin Rash 1
Haut Regenerierung;Skin Regeneration
Hautton;Skin Tonus
Haut Regulierung;Skin, Regulation
Schlafstörungen;Sleep Disorder
Schlaf-Störung 2;Sleep Disorder 2
Störung der Schlafphasen;Sleep Phase Disorder
Einschlafphase;Sleep Phase Onset
Tiefer Schlaf;Sleep-Deep Sleeping
Schlaf-Regulierung;Sleep-Regulation
Schlaf-Regulierung 2;Sleep-Regulation 2
Schlaf-Regulierung 3;Sleep-Regulation 3
Schlaf-Regulierung 4;Sleep-Regulation 4
Mondsüchtigkeit;Sleepwalking
Schlafwandeln;Sleepwalking
Schlechte Heilung;Slow Recovery Process
Schlechter Heilungsprozess 1;Slow Recovery Process 1
Schlechter Heilungsprozess 10;Slow Recovery Process 10
Schlechter Heilungsprozess 11;Slow Recovery Process 11
Schlechter Heilungsprozess 12;Slow Recovery Process 12
Schlechte Heilung 2;Slow Recovery Process 2
Schlechte Heilung 3;Slow Recovery Process 3
Schlechter Heilungsprozess 4;Slow Recovery Process 4
Schlechter Heilungsprozess 5;Slow Recovery Process 5
Schlechte Heilung 6;Slow Recovery Process 6
Schlechte Heilung 7;Slow Recovery Process 7
Schlechter Heilungsprozess 8;Slow Recovery Process 8
Schlechter Heilungsprozess 9;Slow Recovery Process 9
Dünndarm;Small Intestine
Dünndarm 2;Small Intestine 2
Helicobacter Dünndarm;Small Intestine Helicobacter
Dünndarmgeschwüre;Small Intestine Ulcer
Pocken;Smallpox
Geschlechtsteilsekret-Talg;Smegma
Niesen;Sneezing
Schnarchen;Snore
Schnarchen 2;Snore 2
Schnarchen 3;Snore 3
Natrium / Kalium;Sodium/Potassium
Sorghum Flugbrand;Sorghum Smut
Krampf und Schmerzen;Spasm and Pain
Cyclospasm;Spasm of Accommodation
Spastische Kontraktion;Spasmodic Consriction
Krampflösende Wirkung 1;Spasmolytic
Krämpfe;Spasms
Krämpfe bei Kopfschmerzen;Spasms and Headache
Spastische Ataxie;Spastic Ataxia
Spastischer Cerebralparese;Spastic Cerebral Paralysis
Spastische Kolitis;Spastic Colitis
Spastische Krämpfe;Spastic Contructions
spastische Hypertonie;Spastic Hypertension
Spastische Lähmung;Spastic Paralysis
Spastische Lähmung 1;Spastic Paralysis 1
Krämpfe bei Gehirnschäden-Zentrum;Spasticity due to Cerebral Affection-Central Spasms
Sprachzentrum;Speech Centre
Sprachzentrum 1;Speech Centre 1
Sprachzentrum 2;Speech Centre 2
Sphenoidale Sinusitis;Spheroidal Sinusitis
Schließmuskel;Sphincter of Oddi
Darmschließmuskel;Sphincters of the Colon
Wirbelsäule Abrieb;Spinal Attrition
Hauptteil der Wirbelsäule;Spinal Column-Main Part
Hauptwirbelsäule 1;Spinal Column-Main Part 1
ganze Wirbelsäule;Spinal Column-Whole
Ganze Wirbelsäule 1;Spinal Column-Whole 1
Wirbelsäule 1;Spinal Column1
Wirbelsäule 2;Spinal Column2
Wirbelsäule 4;Spinal Column4
Wirbelsäule 5;Spinal Column5
Wirbelsäule 6;Spinal Column6
Rückenmark;Spinal Cord
Rückenmark 2;Spinal Cord 2
Rückenmarkserkrankung;Spinal Cord Disorder
Verkrümmung der Wirbelsäule;Spinal Curvature
Rückenprobleme;Spinal Disorders
Rücken-Kopfschmerzen;Spinal Headache
Milz;Spleen
Milz 1;Spleen 1
Milz 2;Spleen 2
Milz 3;Spleen 3
Milz 4;Spleen 4
Karbunkel Milz;Spleen Carbuncule
Spondylitis;Spondylitis
Strabismus;Squint
Kreislaufstabilisierung;Stabilization of Blood Circulation
Stafilo-Streptokokken Infektion;Staphylococcal and Streptococcal Infection
Staphylokokken-Streptokokken-Infektion 2;Staphylococcal and Streptococcal Infection 2
Staphylokokken Infektion;Staphylococcal Infection
Staphylokokken Infektion 2;Staphylococcal Infection 2
Genickstarre;Stiff Neck
Steife Schulter;Stiff Shoulder
Stimulation von Adrenalin;Stimulation of AdrenalinePproduction
Stimulation der Arterien;Stimulation of Arteries
Atemstimulation;Stimulation of Breathing
Stimulation Leukozyten Bildung;Stimulation of Leukocytes Formation
Stimulation T-Lymphozyten;Stimulation of T Lymphocyte
Stimulation Simpatikus;Stimulation of the Sympathicus
Magengeschwür;Stomac Ulcer
Magen-Mittelpunkt;Stomac-Midpoint
Magen-Ausgang;Stomac-Outlet
Magenkrämpfe;Stomach Spasm
Magenkörper;Stomach, Body
Mageneingang;Stomach, Cardia
Magen Mittelteil;Stomach, Middle Part
Magen Mitte;Stomach, Midpoint
Magenausgang;Stomach, Outlet
Magenschließmuskel;Stomach, Sphincter
Ganzer Magen;Stomach-Body
Magen-Kardia;Stomach-Cardia
Magen-Mittelteil;Stomach-Middle Part
Magen-Schließmuskel;Stomach-Sphincter
Mundfäule;Stomatitis
Kraft der Erde;Strength of Earth
Streptococcus Lungenentzündung;Streptococcus Pneumonia
Stress;Stress
Stress 3;Stress 3
Stress 4;Stress 4
Stress 5;Stress 5
Stress 2;Stress-2
Schlaganfall;Stroke
Schlaganfall Lähmung;Stroke-Paralysis
Strongyloides;Strongyloides
Strongyloides Sekundär;Strongyloides-Secondary
Stottern;Stuttering
Stottern 1;Stuttering 1
Stottern 2;Stuttering 2
Stottern 3;Stuttering 3
Gerste;Stye
Schweißdrüsen;Sudoriferous
Schweißtreibend Aktion;Sudoriferous Effect
Schweißtreibend Wirkung 1;Sudoriferous Effect 1
Sonnenallergie;Sun Allergy
Sonnenstich;Sun Stroke
Nach Operation Frequenzen;Surgery
Trauma - Arthrologie;Surgery, Traumatology and Arthrology
Schwellung bei Krampfadern;Swelling due to Varicosis
Schweinegrippe 1;Swine Flu 1
Schweinegrippe 2;Swine Flu 2
Schweinegrippe 3;Swine Flu 3
Schweinegrippe 4;Swine Flu 4
Schweinegrippe 5;Swine Flu 5
Schweinegrippe 6;Swine Flu 6
Schweinegrippe-Virus;Swine Flu Virus
Sympathikus;Sympathetic Nervous System
Verletzung des sympathischen Systems;Sympathetic Nervous System Disorders
Sympathikotonisch;Sympathicotonic
Sympathisches Nebennieren System;Sympathoadrenal System
Symptome und Syndrome;Sympthoms and Syndromes
Ohnmacht;Syncope
Syphilis;Syphilis
Syphilitische Geschwüre;Syphilis Sore
Bluthochdruck systolischer;Systolic Hypertension
Systolischer Hypertonie;Systolic Hypertension
Tachykardie;Tachycardia
Tränenbildung;Tear Formation
Weinerlichkeit;Tearfulness
Weinerlichkeit 1;Tearfulness 1
Gebiss;Teeth
Zähne-Schneidezähne;Teeth-incisor teeth
Entzündung der Sehnen;Tendinitis
Sehnenspannung;Tendon Sprain
Sehnenschwäche;Tendon Weakness
Tendon Schwäche;Tendon Weakness
Sehnenscheidenentzündung;Tendovaginitis
Tennisarm;Tennis Elbow
Tertiäre Borreliose;Tertiary Borreliosis
Hoden 2;Testicle 2
Hoden 3;Testicle 3
Hoden;Testicles
Hoden und Prostata;Testicles and Prostate
Tetanie;Tetania
Tetanie 3;Tetania 3
Thalamus;Thalamus
Therapeutische Frequenzen;Therapeutic
Weisheitszähne;Third Molar
Brustwirbelsäule;Thoracic Spine
Brustwirbelsäule 1;Thoracic Spine 1
Hals-Zentrum;Throat Centre
Halszentrum;Throat Centre
Hals Zentrum 2;Throat Centre 2
Zentrum des Halses 2;Throat Centre 2
Zentrum Hals 3;Throat Centre 3
Zentrum Hals 4;Throat Centre 4
Kehle;Throat Disorders
Halsschmerzen;Throat Inflammation
Thrombozytopenie;Thrombocytopenia
Daumen 1;Thumb 1
Daumen-großer Zeh;Thumb/ Big Toe
Thymus-Unterfunktion;Thymic Hypofunction
Thymus;Thymus
Thymus 2;Thymus 2
Thymus 3;Thymus 3
Thymus Steuerfrequenz 1;Thymus Control Frequencies 1
Thymus Steuerfrequenz 2;Thymus Control Frequencies 2
Stimulation der Thymusdrüse;Thymus glad Stimulation
Thymus-Frequenzsteuerung 1;Thymus-cf 1
Thymus-Frequenzsteuerung 2;Thymus-cf 2
Schilddrüse;Thyroid
Schilddrüsen 2;Thyroid 2
Schilddrüsenzyste;Thyroid Cyst
Funktionsstörungen der Schilddrüse;Thyroid Dysfunction
Schilddrüsenknoten;Thyroid Gland Nodules
Schilddrüsen-Hypertrophie;Thyroid Hyperthyroidism
Schilddrüsenunterfunktion;Thyroid Hyperthyroidism
Enzephalitis 2;Tick-Borne Encephalitis 2
Zeit-Zentrum;Time Centre
Zentrum-Zeitgefühl 2;Time Centre 2
Zentrum-Zeit 3;Time Centre 3
Flechte;Tinea
Pilzinfektion der Füße;Tinea Pedis
Pilzinfektion der Füße 1;Tinea Pedis 1
Flechte Sklerose;Tinea, Sclerosis
Tinnitus;Tinnitus
Zehennägel;Toenails
Zehennägel 1;Toenails 1
Zehennägel 2;Toenails 2
Nagelpilzinfektion des Fußes;Toenails Mycosis
Zungenbrennen;Tongue Burning
Lähmung der Zunge;Tongue Paralysis
Zungengeschwür;Tongue Ulcer
Zungenbrennen;Tongue-Burning
Brennende Zunge;Tongue-Burning
Zunge Taubheit;Tongue-Numbness
Taube Zunge 2;Tongue-Numbness 2
Zunge Taubheit 3;Tongue-Numbness 3
Tonsilläre Nosode;Tonsillar Nosode
Angina;Tonsillitis
Mandelentzündung 1;Tonsillitis
Mandelentzündung 2;Tonsillitis
Mandelentzündung-Angina 1;Tonsillitis 1
Mandelentzündung 1;Tonsillitis 1
Mandelentzündung-Angina 2;Tonsillitis 2
Mandelentzündung 2;Tonsillitis 2
Mandelentzündung-Angina 3;Tonsillitis 3
Mandelentzündung-Angina 4;Tonsillitis 4
Mandelentzündung-Angina 5;Tonsillitis 5
Mandelentzündung-Angina 6;Tonsillitis 6
Tonsillogenic Kopfschmerzen;Tonsillogenic Headache
Mandeln;Tonsils
Mandeln 1;Tonsils 1
Eiterung Zahn;Tooth Abscess
Zahnschmerzen;Tooth Ache
Zahn-Ohreninfektion;Tooth Infections and Ears
Zahn-Druck;Tooth Pressure
Zahnschmerzen;Toothache
Zahnschmerzen bei chronischem Granulom;Toothache and Chronic Granulomatous Disease
Schiefer Hals;Torticollis
Torticollis 1;Torticollis 1
Toxischer Kropf;Toxic Goiter
Hepatotoxizität;Toxic Liver Lesion
Multiple Sklerose giftige;Toxic Multiple Sclerosis
Toxoplasma;Toxoplasm
Luftröhre;Trachea
Luftröhre 2;Trachea 2
Tracheitis;Tracheitis
Trauma;Trauma
Trauma Rehabilitation;Trauma-Rehabilitation
Knochenbehandlung;Treatment of Bones
Knochen Behandlung 1;Treatment of Bones 1
Trematoden;Trematodes
Trematoden im Blut;Trematodes in Blood
Tremor;Tremor
Grabenfieber;Trench Fever
Trichinen;Trichinella
Trichomonas;Trichomonad
Trigeminus-Neuralgie;Trifacial Neuralgia
Trigeminusneuralgie;Trifacial Neuralgia
Trigeminus Nerv;Trigeminal Nerve
Trigeminus 1;Trigeminal Nerve 1
Trigeminus 2 - 1;Trigeminal Nerve 2 - 1
Trigeminus 2 - 1;Trigeminal Nerve 2 2
Trigeminus Nerv 1;Trigeminal Nerve1 2
Trigeminus Nerv 2;Trigeminal Nerve2
Thrombose;Trombosis
Thrombose 2;Trombosis 2
Thrombose 3;Trombosis 3
Thrombose 4;Trombosis 4
Thrombose 5;Trombosis 5
Geschwür von Tropen;Trophic Ulcer
Durchgängigkeit der Eileiter;Tubal Patency
Tuberkulosebazillus;Tubercule Bacillus
Tuberkulose;Tuberculosis
Tuberkulose 1;Tuberculosis 1
Tuberkulose 2;Tuberculosis 2
Tuberkulose 3;Tuberculosis 3
Tuberkulose mit Kollibazillus;Tuberculosis and Colibacillus
Tuberkulose-Koch;Tuberculosis-Koch
Schwellung der Eileiter;Tumor of the Fallopian Tubes
Gebärmutter-Tumor;Tumor of the Uterus
Tumoren des Uterus;Tumor of the Uterus
Tunnelsyndrom;Tunnel Syndrome
Trommelfell 1;Tympanic Membrane 1
Trommelfell 2;Tympanic Membrane 2
Gasansammlung Innenorgane;Tympanitis
Diabetes Mellitus Typ 2;Type 2 Diabetes Mellitus
Magengeschwüre 4;Ulcer Disease 4
Magengeschwüre 5;Ulcer Disease 5
Magengeschwüre 6;Ulcer Disease 6
Magengeschwüre 1;Ulcer Disease1
Magengeschwüre 2;Ulcer Disease2
Geschwüre-Reparatur;Ulcer Repair
Geschwür Basis;Ulcer-Basic
Colitis Ulcerosa;Ulcerative Colitis
Colitis Ulcerosa 2;Ulcerative Colitis
Colitis Ulcerosa 1;Ulcerative Colitis 1
Universeller Kopfschmerzen;Universal Headache
Oberkiefer;Upper Jaw
Oberkiefer 2;Upper Jaw
Oberen Atemwege;Upper Respiratory Tract
Reizdarm;Upset Stomach
Urea Plasma;Ureaplasma
Urämie;Uremia
Harnleiter;Ureter
Harnleiter 1;Ureter 1
Harnröhre;Urethra
Verengung der Harnröhre;Urethral Stricture
Harnröhrenentzündung;Urethritis
Harnsäure;Uric Acid
Harnsäure 1;Uric Acid 1
Harnsäure 2;Uric acid 2
Harnsäure 3;Uric Acid 3
Harnsäurebildung;Uric Acid Formation
Blase;Urinary Bladder
Harnblase 1;Urinary Bladder 1
Harnblase 2;Urinary Bladder 2
Blase-Syndrom;Urinary Bladder Syndrome
Blase-Syndrom 2;Urinary Bladder Syndrome 2
Blasentumor;Urinary Bladder Tumor
Blase-Prostata;Urinary Bladder-Prostate
Blase Harnröhre;Urinary Bladder-Urethra
Harnverhaltung;Urinary Retention
Harnwegsinfektion;Urinary Tract Infection
Harnwegsinfektion Blasenentzündung;Urinary Tract Infection-Cystitis
Urogenitalsystem Kopfschmerzen;Urogenital Headache
Urogenitale Infektion;Urogenital Infections
Harnsteinbildung;Urolithiasis
Urolithiasis;Urolithiasis
Urologie;Urology
Urologie und Nephrologie;Urology and Nephrology
Störungen beim Wasserlassen;Urosis
Nesselausschlag;Urticaria
Nesselsucht;Urticarial Erythema
Urticaria Erythema;Urticarial Erythema
Gebärmutter-Zyste;Uterine Cyst
Gebärmutter-Myome;Uterine Myome
Gebärmutter;Uterus
Gebärmutter 1;Uterus 1
Vaccininum;Vaccininum
Vagina;Vagina
Vagina 1;Vagina 1
Prolaps-Scheide;Vaginal Prolapse
Vaginose;Vaginosis
Vagusnerv;Vagus Nerve
Vagusnerv;Vagus Nerve Irritation
Irritierter Vagusnerv;Vagus Nerve Irritation
Vapch Grippe;Vapch Grippe
Varicillen;Varicillen
Gefäßekzeme;Varicos Eczema
Schwellung von Krampfadern;Varicose Edema
Unterschenkelgeschwür;Varicose Ulcer
Krampfgeschwür 1;Varicose Ulcer 1
Krampfadern;Varicose Veins
Krampfadern;Varicosis
Krampfadern 1;Varicosis
Krampfader-Varikose 1;Varicosis 1
Krampfader-Varikose 2;Varicosis 2
Krampfader-Varikose 3;Varicosis 3
Krampfader-Varikose 4;Varicosis 4
Krampfader-Varikose 5;Varicosis 5
Krampfader-Varikose 6;Varicosis 6
Krampfader-Varikose 7;Varicosis 7
Krampfadern Verschlimmerung;Varicosis Aggravation
Krampfadern Blutkreislauf;Varicosis-Blood Circulation
Krampfadern Kreislauf;Varicosis-Blood Circulation
Krampfadern Vene;Varicosis-Veins
Verschiedene Krämpfe;Various Spasms
Verschiedene Krämpfe 2;Various Spasms 2
Verschiedene Krämpfe;Various Spasms 3
Verschiedene Krämpfe 4;Various Spasms 4
Krampfadern Knoten;Varix
Vaskuläre Kopfschmerzen;Vascular Headache
Vaskuläre Kopfschmerzen 2;Vascular Headache 2
Vasogen;Vasogenic
Vasomotorische Rhinitis;Vasomotor Rhinitis
vegetative Störungen;Vegetative Disturbance
Vegetative Störungen 1;Vegetative Disturbance 1
Vegetovascular Dystonie;Vegetative-Vascular Dystonia
Vegetative Dystonie-Kreislauf;Vegetative-Vascular Dystonia
Nerven Venen;Vein Nerves
Nerven Vene 1;Vein Nerves 1
Venen Nerven 2;Vein Nerves 2
Venen;Veins
Venen 1;Veins 1
Vene 2;Veins-2
Alkohol Entgiftung;Veisalgia
Kopfschmerzen/Wirbelschmerzen;Vertebragenic Headache
Sintra vertebralis;Vertebral Artery Syndrome
Wirbel-basilaris Syndrom;Vertebrobasilar Syndrome
Vertebroge;Vertebrogenic
Wirbelsäule-Kopfschmerzen;Vertebrogenic Headache
Orthopädie;Vertebrology
Vertebrologie;Vertebrology
Influenza Vesic;Vesic Influenza
Influenza Vesic NW;Vesic NW Influenza
Influenza Vesic SW;Vesic SW Influenza
Influenza Vesica gen;Vesica Gen Influenza
